Acanthogobius flavimanus,Acanthopsoides gracilentus,Acanthopagrus sivicolus,Acheilognathus cf macropterus,Amblychaeturichthys hexanema,Amblychaeturichthys sciistius,Arctoscopus japonicus,Bos taurus,Branchiostegus japonicus,Carassioides acuminatus,Carassius auratus langsdorfii,Carassius auratus subsp Ishigaki Is,Carassius cuvieri,Chaenogobius gulosus,Chelidonichthys spinosus,Chelon haematocheilus,Coilia grayii,Cypselurus hiraii,Dictyosoma burgeri,Ditrema temminckii pacificum,Elopichthys bambusa,Engraulis japonicus,Epinephelus akaara,Ernogrammus hexagrammus,Favonigobius gymnauchen,Gadus macrocephalus,Girella punctata,Gnathopogon elongatus elongatus,Gymnogobius opperiens,Gymnogobius petschiliensis,Gymnogobius scrobiculatus,Hemibarbus barbus,Hexagrammos lagocephalus,Hippoglossoides elassodon,Homo sapiens,Hyporhamphus sajori,Konosirus punctatus,Labeo coubie,Labeo senegalensis,Lagocephalus spadiceus,Lateolabrax japonicus,Lepidotrigla microptera,Leucopsarion petersii,Lycodes sigmatoides,Macrochirichthys macrochirus,Metzia lineata,Micropterus salmoides,Misgurnus anguillicaudatus,Mugil cephalus,Nipponocypris temminckii,Nuchequula nuchalis,Odontamblyopus rubicundus,Omobranchus elegans,Omobranchus punctatus,Opisthoproctus sp ZMUB 18977,Oplegnathus fasciatus,Osteochilus salsburyi,Pagrus major,Parablennius yatabei,Paralichthys olivaceus,Petroscirtes breviceps,Pleuronectes yokohamae,Plotosus japonicus,Pseudolabrus sieboldi,Pungtungia herzi,Rhinogobius brunneus,Rhinogobius flumineus,Rhynchocypris oxycephalus jouyi,Rhynchopelates oxyrhynchus,Rudarius ercodes,Sardinops sagax,Saurida wanieso,Saurogobio immaculatus,Scomber japonicus,Scomberomorus niphonius,Sebastes aleutianus,Sebastes nigrocinctus,Sebastiscus marmoratus,Seriola lalandi,Seriola quinqueradiata,Siganus canaliculatus,Sillago japonica,Sphyraena pinguis,Squaliobarbus curriculus,Stephanolepis cirrhifer,Takifugu niphobles,Takifugu pardadalis,Takifugu porphyreus,Takifugu rubripes,Thamnaconus modestus,Trachemys scripta,Trachurus japonicus,Trachurus symmetricus,Tribolodon hakonensis,Tridentiger obscurus,Tridentiger trigonocephalus,Xenocypris macrolepis,Zacco platypus,Zoarchias veneficus
0,598,313,0,0,0,0,0,0,5938,0,0,0,0,0,0,0,0,64,0,4794,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1862,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,22090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,37,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,1036,319,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2734,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,16,0,0,0,0,0,0,0
0,168,0,0,0,0,0,0,0,1842,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,487,1462,0,0,0,0,0,0,6577,0,0,0,171,0,0,14,0,166,0,5779,46,0,0,0,0,255,0,0,0,0,0,0,0,0,570,0,2031,0,0,0,0,0,0,0,0,0,0,129,0,50,0,66,0,0,0,0,781,1162,0,0,0,85,0,0,0,0,0,14,22,0,0,24326,73,0,0,0,0,0,0,0,0,130,0,0,864,1181,0,0,0,0,131,0,0,0,10,0,0,0
0,350,395,0,0,0,0,0,10,2868,23,0,0,0,0,17,0,0,0,0,2841,73,0,0,0,0,0,15,0,38,0,0,0,0,0,60,0,1338,23,0,0,0,0,0,0,0,0,31,0,17,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,20,0,0,0,0,0,15399,0,0,0,0,0,0,0,0,0,0,0,0,21,142,0,0,0,0,0,0,27,0,0,0,18,0
0,167,67,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,1327,599,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,32,0,0,0,26,0,0,0,0,0,0,0,0,317,5520,0,0,0,0,35,0,0,0,35,818,0,0,15339,4716,0,0,0,0,719,0,0,0,0,0,0,0
36,189,48,0,0,0,0,15,0,2032,0,0,0,0,0,19,32,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,46,884,0,24,0,0,0,0,0,0,0,0,35,0,0,0,0,14,0,0,0,0,66,0,0,0,0,0,0,10,0,0,0,0,0,0,8207,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,13,33,0,0,0,0
0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,499,17,0,0,0,0,0,0,4101,0,0,0,0,0,22,0,0,0,0,2933,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,1162,0,0,44,0,0,0,0,0,0,12,19,47,25,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,21,0,0,0,0,14830,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,0,0,0,0,0,0,40,0,0,0,0,0
0,767,0,0,0,0,0,0,0,4428,0,0,0,0,0,0,0,0,33,0,4710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,101,2126,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,17034,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,36,0,0,0,0,0,0,0
